folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_11,P3142204.jpg,x,
F6-camacani_11,P3141956.jpg,x,
F6-camacani_11,P3142142.jpg,x,
F6-camacani_11,P3142088.jpg,x,
F6-camacani_11,P3142019.jpg,x,
F6-camacani_11,P3142130.jpg,x,
F6-camacani_11,P3142222.jpg,x,
F6-camacani_11,P3142207.jpg,x,
F6-camacani_11,P3142241.jpg,x,
F6-camacani_11,P3141993.jpg,x,
F6-camacani_11,P3142183.jpg,x,
F6-camacani_11,P3141990.jpg,x,
F6-camacani_11,P3142144.jpg,x,
F6-camacani_11,P3142084.jpg,x,
F6-camacani_11,P3142235.jpg,x,
F6-camacani_11,P3142046.jpg,x,
F6-camacani_11,P3142206.jpg,x,
F6-camacani_11,P3141986.jpg,x,
F6-camacani_11,P3142261.jpg,x,
F6-camacani_11,P3142192.jpg,x,
F6-camacani_11,P3142086.jpg,x,
F6-camacani_11,P3142056.jpg,x,
F6-camacani_11,P3141982.jpg,x,
F6-camacani_11,P3142114.jpg,x,
F6-camacani_11,P3142214.jpg,x,
F6-camacani_11,P3142263.jpg,x,
F6-camacani_11,P3142186.jpg,x,
F6-camacani_11,P3142013.jpg,x,
F6-camacani_11,P3142228.jpg,x,
F6-camacani_11,P3142179.jpg,x,
F6-camacani_11,P3142053.jpg,x,
F6-camacani_11,P3142150.jpg,x,
F6-camacani_11,P3142269.jpg,x,
F6-camacani_11,P3142197.jpg,x,
F6-camacani_11,P3142132.jpg,x,
F6-camacani_11,P3142201.jpg,x,
F6-camacani_11,P3142110.jpg,x,
F6-camacani_11,P3142163.jpg,x,
F6-camacani_11,P3142005.jpg,x,
F6-camacani_11,P3142108.jpg,x,
F6-camacani_11,P3141988.jpg,x,
F6-camacani_11,P3142029.jpg,x,
F6-camacani_11,P3141958.jpg,x,
F6-camacani_11,P3142121.jpg,x,
F6-camacani_11,P3142041.jpg,x,
F6-camacani_11,P3142092.jpg,x,
F6-camacani_11,P3141966.jpg,x,
F6-camacani_11,P3142216.jpg,x,
F6-camacani_11,P3142171.jpg,x,
F6-camacani_11,P3142007.jpg,x,
F6-camacani_11,P3142146.jpg,x,
F6-camacani_11,P3142275.jpg,x,
F6-camacani_11,P3141976.jpg,x,
F6-camacani_11,P3142021.jpg,x,
F6-camacani_11,P3142043.jpg,x,
F6-camacani_11,P3142051.jpg,x,
F6-camacani_11,P3142232.jpg,x,
F6-camacani_11,P3142161.jpg,x,
F6-camacani_11,P3142152.jpg,x,
F6-camacani_11,P3142251.jpg,x,
F6-camacani_11,P3141954.jpg,x,
F6-camacani_11,P3142082.jpg,x,
F6-camacani_11,P3141997.jpg,x,
F6-camacani_11,P3142190.jpg,x,
F6-camacani_11,P3142055.jpg,x,
F6-camacani_11,P3141968.jpg,x,
F6-camacani_11,P3142237.jpg,x,
F6-camacani_11,P3142259.jpg,x,
F6-camacani_11,P3142067.jpg,x,
F6-camacani_11,P3141970.jpg,x,
F6-camacani_11,P3142218.jpg,x,
F6-camacani_11,P3142196.jpg,x,
F6-camacani_11,P3142138.jpg,x,
F6-camacani_11,P3141974.jpg,x,
F6-camacani_11,P3142025.jpg,x,
F6-camacani_11,P3142058.jpg,x,
F6-camacani_11,P3142048.jpg,x,
F6-camacani_11,P3142033.jpg,x,
F6-camacani_11,P3142001.jpg,x,
F6-camacani_11,P3142060.jpg,x,
F6-camacani_11,P3142149.jpg,x,
F6-camacani_11,P3141995.jpg,x,
F6-camacani_11,P3142148.jpg,x,
F6-camacani_11,P3142027.jpg,x,
F6-camacani_11,P3142167.jpg,x,
F6-camacani_11,P3142182.jpg,x,
F6-camacani_11,P3142045.jpg,x,
F6-camacani_11,P3142245.jpg,x,
F6-camacani_11,P3142273.jpg,x,
F6-camacani_11,P3142094.jpg,x,
F6-camacani_11,P3142224.jpg,x,
F6-camacani_11,P3142154.jpg,x,
F6-camacani_11,P3142037.jpg,x,
F6-camacani_11,P3142199.jpg,x,
F6-camacani_11,P3142070.jpg,x,
F6-camacani_11,P3141984.jpg,x,
F6-camacani_11,P3142096.jpg,x,
F6-camacani_11,P3142042.jpg,x,
F6-camacani_11,P3142265.jpg,x,
F6-camacani_11,P3142035.jpg,x,
F6-camacani_11,P3141978.jpg,x,
F6-camacani_11,P3142180.jpg,x,
F6-camacani_11,P3142112.jpg,x,
F6-camacani_11,P3142173.jpg,x,
F6-camacani_11,P3142177.jpg,x,
