folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_10,P3141687.jpg,x,
F6-camacani_10,P3141492.jpg,x,
F6-camacani_10,P3141651.jpg,x,
F6-camacani_10,P3141481.jpg,x,
F6-camacani_10,P3141469.jpg,x,
F6-camacani_10,P3141540.jpg,x,
F6-camacani_10,P3141559.jpg,x,
F6-camacani_10,P3141503.jpg,x,
F6-camacani_10,P3141541.jpg,x,
F6-camacani_10,P3141536.jpg,x,
F6-camacani_10,P3141627.jpg,x,
F6-camacani_10,P3141475.jpg,x,
F6-camacani_10,P3141497.jpg,x,
F6-camacani_10,P3141495.jpg,x,
F6-camacani_10,P3141880.jpg,x,
F6-camacani_10,P3141421.jpg,x,
F6-camacani_10,P3141876.jpg,x,
F6-camacani_10,P3141454.jpg,x,
F6-camacani_10,P3141667.jpg,x,
F6-camacani_10,P3141567.jpg,x,
F6-camacani_10,P3141884.jpg,x,
F6-camacani_10,P3141552.jpg,x,
F6-camacani_10,P3141605.jpg,x,
F6-camacani_10,P3141725.jpg,x,
F6-camacani_10,P3141505.jpg,x,
F6-camacani_10,P3141802.jpg,x,
F6-camacani_10,P3141617.jpg,x,
F6-camacani_10,P3141948.jpg,x,
F6-camacani_10,P3141532.jpg,x,
F6-camacani_10,P3141703.jpg,x,
F6-camacani_10,P3141942.jpg,x,
F6-camacani_10,P3141489.jpg,x,
F6-camacani_10,P3141908.jpg,x,
F6-camacani_10,P3141633.jpg,x,
F6-camacani_10,P3141533.jpg,x,
F6-camacani_10,P3141944.jpg,x,
F6-camacani_10,P3141727.jpg,x,
F6-camacani_10,P3141435.jpg,x,
F6-camacani_10,P3141565.jpg,x,
F6-camacani_10,P3141443.jpg,x,
F6-camacani_10,P3141810.jpg,x,
F6-camacani_10,P3141451.jpg,x,
F6-camacani_10,P3141631.jpg,x,
F6-camacani_10,P3141681.jpg,x,
F6-camacani_10,P3141649.jpg,x,
F6-camacani_10,P3141693.jpg,x,
F6-camacani_10,P3141934.jpg,x,
F6-camacani_10,P3141657.jpg,x,
F6-camacani_10,P3141866.jpg,x,
F6-camacani_10,P3141748.jpg,x,
F6-camacani_10,P3141828.jpg,x,
F6-camacani_10,P3141806.jpg,x,
F6-camacani_10,P3141465.jpg,x,
F6-camacani_10,P3141671.jpg,x,
F6-camacani_10,P3141431.jpg,x,
F6-camacani_10,P3141459.jpg,x,
F6-camacani_10,P3141924.jpg,x,
F6-camacani_10,P3141874.jpg,x,
F6-camacani_10,P3141695.jpg,x,
F6-camacani_10,P3141547.jpg,x,
F6-camacani_10,P3141569.jpg,x,
F6-camacani_10,P3141653.jpg,x,
F6-camacani_10,P3141555.jpg,x,
F6-camacani_10,P3141603.jpg,x,
F6-camacani_10,P3141846.jpg,x,
F6-camacani_10,P3141447.jpg,x,
F6-camacani_10,P3141599.jpg,x,
F6-camacani_10,P3141413.jpg,x,
F6-camacani_10,P3141446.jpg,x,
F6-camacani_10,P3141946.jpg,x,
F6-camacani_10,P3141733.jpg,x,
F6-camacani_10,P3141625.jpg,x,
F6-camacani_10,P3141894.jpg,x,
F6-camacani_10,P3141643.jpg,x,
F6-camacani_10,P3141491.jpg,x,
F6-camacani_10,P3141531.jpg,x,
F6-camacani_10,P3141419.jpg,x,
F6-camacani_10,P3141519.jpg,x,
F6-camacani_10,P3141589.jpg,x,
F6-camacani_10,P3141862.jpg,x,
F6-camacani_10,P3141902.jpg,x,
F6-camacani_10,P3141579.jpg,x,
F6-camacani_10,P3141776.jpg,x,
F6-camacani_10,P3141709.jpg,x,
