folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_8,P3140812.jpg,x,
F6-camacani_8,P3140514.jpg,x,
F6-camacani_8,P3140597.jpg,x,
F6-camacani_8,P3140716.jpg,x,
F6-camacani_8,P3140670.jpg,x,
F6-camacani_8,P3140650.jpg,x,
F6-camacani_8,P3140700.jpg,x,
F6-camacani_8,P3140509.jpg,x,
F6-camacani_8,P3140638.jpg,x,
F6-camacani_8,P3140810.jpg,x,
F6-camacani_8,P3140753.jpg,x,
F6-camacani_8,P3140508.jpg,x,
F6-camacani_8,P3140602.jpg,x,
F6-camacani_8,P3140844.jpg,x,
F6-camacani_8,P3140735.jpg,x,
F6-camacani_8,P3140536.jpg,x,
F6-camacani_8,P3140570.jpg,x,
F6-camacani_8,P3140505.jpg,x,
F6-camacani_8,P3140556.jpg,x,
F6-camacani_8,P3140914.jpg,x,
F6-camacani_8,P3140814.jpg,x,
F6-camacani_8,P3140636.jpg,x,
F6-camacani_8,P3140916.jpg,x,
F6-camacani_8,P3140542.jpg,x,
F6-camacani_8,P3140876.jpg,x,
F6-camacani_8,P3140652.jpg,x,
F6-camacani_8,P3140563.jpg,x,
F6-camacani_8,P3140590.jpg,x,
F6-camacani_8,P3140550.jpg,x,
F6-camacani_8,P3140759.jpg,x,
F6-camacani_8,P3140870.jpg,x,
F6-camacani_8,P3140910.jpg,x,
F6-camacani_8,P3140626.jpg,x,
F6-camacani_8,P3140850.jpg,x,
F6-camacani_8,P3140922.jpg,x,
F6-camacani_8,P3140747.jpg,x,
F6-camacani_8,P3140719.jpg,x,
F6-camacani_8,P3140682.jpg,x,
F6-camacani_8,P3140562.jpg,x,
F6-camacani_8,P3140902.jpg,x,
F6-camacani_8,P3140835.jpg,x,
F6-camacani_8,P3140906.jpg,x,
F6-camacani_8,P3140618.jpg,x,
F6-camacani_8,P3140564.jpg,x,
F6-camacani_8,P3140669.jpg,x,
F6-camacani_8,P3140808.jpg,x,
F6-camacani_8,P3140601.jpg,x,
F6-camacani_8,P3140718.jpg,x,
F6-camacani_8,P3140777.jpg,x,
F6-camacani_8,P3140588.jpg,x,
F6-camacani_8,P3140749.jpg,x,
F6-camacani_8,P3140694.jpg,x,
F6-camacani_8,P3140842.jpg,x,
F6-camacani_8,P3140792.jpg,x,
F6-camacani_8,P3140954.jpg,x,
F6-camacani_8,P3140751.jpg,x,
F6-camacani_8,P3140824.jpg,x,
F6-camacani_8,P3140528.jpg,x,
F6-camacani_8,P3140612.jpg,x,
F6-camacani_8,P3140512.jpg,x,
F6-camacani_8,P3140665.jpg,x,
F6-camacani_8,P3140530.jpg,x,
F6-camacani_8,P3140518.jpg,x,
F6-camacani_8,P3140731.jpg,x,
F6-camacani_8,P3140664.jpg,x,
F6-camacani_8,P3140767.jpg,x,
F6-camacani_8,P3140604.jpg,x,
F6-camacani_8,P3140912.jpg,x,
F6-camacani_8,P3140554.jpg,x,
F6-camacani_8,P3140502.jpg,x,
F6-camacani_8,P3140904.jpg,x,
F6-camacani_8,P3140531.jpg,x,
F6-camacani_8,P3140789.jpg,x,
F6-camacani_8,P3140732.jpg,x,
F6-camacani_8,P3140628.jpg,x,
F6-camacani_8,P3140559.jpg,x,
F6-camacani_8,P3140864.jpg,x,
F6-camacani_8,P3140940.jpg,x,
F6-camacani_8,P3140950.jpg,x,
F6-camacani_8,P3140886.jpg,x,
F6-camacani_8,P3140930.jpg,x,
F6-camacani_8,P3140506.jpg,x,
F6-camacani_8,P3140580.jpg,x,
F6-camacani_8,P3140712.jpg,x,
F6-camacani_8,P3140892.jpg,x,
F6-camacani_8,P3140688.jpg,x,
F6-camacani_8,P3140855.jpg,x,
F6-camacani_8,P3140555.jpg,x,
F6-camacani_8,P3140859.jpg,x,
F6-camacani_8,P3140534.jpg,x,
F6-camacani_8,P3140921.jpg,x,
F6-camacani_8,P3140614.jpg,x,
F6-camacani_8,P3140874.jpg,x,
F6-camacani_8,P3140678.jpg,x,
F6-camacani_8,P3140862.jpg,x,
F6-camacani_8,P3140765.jpg,x,
F6-camacani_8,P3140593.jpg,x,
F6-camacani_8,P3140520.jpg,x,
F6-camacani_8,P3140586.jpg,x,
F6-camacani_8,P3140867.jpg,x,
F6-camacani_8,P3140875.jpg,x,
F6-camacani_8,P3140838.jpg,x,
F6-camacani_8,P3140706.jpg,x,
F6-camacani_8,P3140736.jpg,x,
F6-camacani_8,P3140526.jpg,x,
F6-camacani_8,P3140826.jpg,x,
F6-camacani_8,P3140539.jpg,x,
F6-camacani_8,P3140617.jpg,x,
F6-camacani_8,P3140920.jpg,x,
F6-camacani_8,P3140548.jpg,x,
F6-camacani_8,P3140660.jpg,x,
F6-camacani_8,P3140847.jpg,x,
F6-camacani_8,P3140909.jpg,x,
F6-camacani_8,P3140964.jpg,x,
F6-camacani_8,P3140648.jpg,x,
F6-camacani_8,P3140854.jpg,x,
F6-camacani_8,P3140871.jpg,x,
F6-camacani_8,P3140887.jpg,x,
F6-camacani_8,P3140690.jpg,x,
F6-camacani_8,P3140610.jpg,x,
F6-camacani_8,P3140703.jpg,x,
F6-camacani_8,P3140823.jpg,x,
F6-camacani_8,P3140819.jpg,x,
F6-camacani_8,P3140773.jpg,x,
F6-camacani_8,P3140585.jpg,x,
F6-camacani_8,P3140952.jpg,x,
F6-camacani_8,P3140535.jpg,x,
F6-camacani_8,P3140866.jpg,x,
F6-camacani_8,P3140852.jpg,x,
F6-camacani_8,P3140883.jpg,x,
F6-camacani_8,P3140672.jpg,x,
F6-camacani_8,P3140594.jpg,x,
F6-camacani_8,P3140730.jpg,x,
F6-camacani_8,P3140574.jpg,x,
F6-camacani_8,P3140653.jpg,x,
