img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F6-camacani_3,_DSC0459(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,811.0,2951.0,4193675.0,,123.12:100.19:83.62,48.25:49.06:41.17
F6-camacani_3,_DSC0420(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,833.0,2827.0,3751782.0,,139.75:134.34:119.05,37.07:38.13:44.74
F6-camacani_3,_DSC0453(4).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,935.0,2991.0,4774235.0,,115.55:104.65:57.16,66.79:58.48:52.09
F6-camacani_3,_DSC0450(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,695.0,2958.0,2811507.0,,131.3:111.13:85.52,41.59:41.16:46.72
F6-camacani_3,_DSC0501(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,663.0,2906.0,3066827.0,,119.88:109.38:76.87,46.92:43.0:43.37
F6-camacani_3,_DSC0518(4).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,977.0,3091.0,4412900.0,,141.37:126.27:96.6,60.01:60.71:68.63
F6-camacani_3,_DSC0455(4).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,503.0,1880.0,1672771.0,,94.43:99.11:70.01,58.87:56.69:46.28
F6-camacani_3,_DSC0455(4).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,1233.0,2158.0,4215273.0,,99.75:101.68:77.28,65.14:62.69:60.85
F6-camacani_3,_DSC0440(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,1148.0,3116.0,5583246.0,,134.61:126.88:99.9,42.93:43.53:54.4
F6-camacani_3,_DSC0488(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,636.0,3031.0,3217397.0,,106.65:106.3:86.72,39.82:40.4:45.31
F6-camacani_3,_DSC0463(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,761.0,3136.0,4153196.0,,125.32:109.64:82.48,42.06:46.07:51.97
F6-camacani_3,_DSC0398(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,1469.0,3390.0,7661016.0,,131.85:91.37:75.82,49.9:49.73:42.51
F6-camacani_3,_DSC0503(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,928.0,2609.0,3461039.0,,139.78:121.68:89.91,48.82:45.3:40.73
F6-camacani_3,_DSC0492(4).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,592.0,2606.0,2518687.0,,132.5:111.22:80.15,61.82:58.8:55.72
F6-camacani_3,_DSC0498(4).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,464.0,2238.0,1674389.0,,96.69:85.74:64.36,54.35:51.68:54.8
F6-camacani_3,_DSC0498(4).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,355.0,1995.0,1121305.0,,91.9:83.0:57.28,52.26:46.51:47.89
