folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_5,_DSC0935(3).jpg,x,
F6-camacani_5,_DSC0789(2).jpg,x,
F6-camacani_5,_DSC0866(3).jpg,x,
F6-camacani_5,_DSC0884(3).jpg,x,
F6-camacani_5,_DSC0800(2).jpg,x,
F6-camacani_5,_DSC0954(3).jpg,x,
F6-camacani_5,_DSC0913(2).jpg,x,
F6-camacani_5,_DSC0931(3).jpg,x,
F6-camacani_5,_DSC0870(3).jpg,x,
F6-camacani_5,_DSC0852(3).jpg,x,
F6-camacani_5,_DSC0858(2).jpg,x,
F6-camacani_5,_DSC0870(2).jpg,x,
F6-camacani_5,_DSC0910(3).jpg,x,
F6-camacani_5,_DSC0864(2).jpg,x,
F6-camacani_5,_DSC0787(2).jpg,x,
F6-camacani_5,_DSC0831(3).jpg,x,
F6-camacani_5,_DSC0919(3).jpg,x,
F6-camacani_5,_DSC0770(2).jpg,x,
F6-camacani_5,_DSC0778(3).jpg,x,
F6-camacani_5,_DSC0795(2).jpg,x,
F6-camacani_5,_DSC0818(2).jpg,x,
F6-camacani_5,_DSC0747(2).jpg,x,
F6-camacani_5,_DSC0828(2).jpg,x,
F6-camacani_5,_DSC0850(2).jpg,x,
F6-camacani_5,_DSC0854(3).jpg,x,
F6-camacani_5,_DSC0848(2).jpg,x,
F6-camacani_5,_DSC0926(3).jpg,x,
F6-camacani_5,_DSC0958(2).jpg,x,
F6-camacani_5,_DSC0805(2).jpg,x,
F6-camacani_5,_DSC0766(2).jpg,x,
F6-camacani_5,_DSC0959(2).jpg,x,
F6-camacani_5,_DSC0891(2).jpg,x,
F6-camacani_5,_DSC0861(2).jpg,x,
F6-camacani_5,_DSC0938(3).jpg,x,
F6-camacani_5,_DSC0922(3).jpg,x,
F6-camacani_5,_DSC0929(3).jpg,x,
F6-camacani_5,_DSC0904(2).jpg,x,
F6-camacani_5,_DSC0897(3).jpg,x,
F6-camacani_5,_DSC0937(3).jpg,x,
F6-camacani_5,_DSC0906(3).jpg,x,
F6-camacani_5,_DSC0819(3).jpg,x,
F6-camacani_5,_DSC0925(3).jpg,x,
F6-camacani_5,_DSC0822(2).jpg,x,
F6-camacani_5,_DSC0918(2).jpg,x,
F6-camacani_5,_DSC0793(2).jpg,x,
F6-camacani_5,_DSC0760(2).jpg,x,
F6-camacani_5,_DSC0828(3).jpg,x,
F6-camacani_5,_DSC0782(3).jpg,x,
F6-camacani_5,_DSC0839(3).jpg,x,
F6-camacani_5,_DSC0778(2).jpg,x,
F6-camacani_5,_DSC0955(2).jpg,x,
F6-camacani_5,_DSC0930(2).jpg,x,
F6-camacani_5,_DSC0773(2).jpg,x,
F6-camacani_5,_DSC0797(2).jpg,x,
F6-camacani_5,_DSC0908(3).jpg,x,
F6-camacani_5,_DSC0744(2).jpg,x,
F6-camacani_5,_DSC0834(3).jpg,x,
F6-camacani_5,_DSC0914(3).jpg,x,
F6-camacani_5,_DSC0754(2).jpg,x,
F6-camacani_5,_DSC0752(3).jpg,x,
F6-camacani_5,_DSC0743(2).jpg,x,
F6-camacani_5,_DSC0940(3).jpg,x,
F6-camacani_5,_DSC0775(3).jpg,x,
F6-camacani_5,_DSC0845(2).jpg,x,
F6-camacani_5,_DSC0943(3).jpg,x,
F6-camacani_5,_DSC0840(2).jpg,x,
F6-camacani_5,_DSC0759(3).jpg,x,
F6-camacani_5,_DSC0766(3).jpg,x,
F6-camacani_5,_DSC0807(2).jpg,x,
F6-camacani_5,_DSC0757(2).jpg,x,
F6-camacani_5,_DSC0921(2).jpg,x,
F6-camacani_5,_DSC0886(3).jpg,x,
F6-camacani_5,_DSC0821(2).jpg,x,
F6-camacani_5,_DSC0754(3).jpg,x,
