folder,imgname,no_ruler_detected,no_panicles_detected
F8-camacani_1,PASxKCA 158_20190210_104308.jpg,x,
F8-camacani_1,COLxKCA 29_20190210_120032.jpg,x,
F8-camacani_1,HUAxKCA 53_20190210_100746.jpg,x,
F8-camacani_1,HUAxKCA 194_20190210_100621.jpg,x,
F8-camacani_1,PAS_20190210_104120.jpg,x,
F8-camacani_1,COL_20190210_100840.jpg,x,
F8-camacani_1,ATP_20190210_102317.jpg,x,
F8-camacani_1,PAN_20190210_104601.jpg,x,
F8-camacani_1,SALxPAN 165_20190210_102420.jpg,x,
F8-camacani_1,SALxHUA 195_20190210_120135.jpg,x,
F8-camacani_1,COLxKCA 14_20190210_115618.jpg,x,
F8-camacani_1,HUAxKCA 174_20190210_102712.jpg,x,
F8-camacani_1,SALxCOL 46_20190210_102215.jpg,x,
F8-camacani_1,SALxCOL 37_20190210_102557.jpg,x,
F8-camacani_1,KCA_20190210_104228.jpg,x,
F8-camacani_1,SALxHUA 6_20190210_102744.jpg,x,
F8-camacani_1,SALxPAN 171_20190210_102840.jpg,x,
F8-camacani_1,SALxHUA 33_20190210_104423.jpg,x,
F8-camacani_1,SALxPAN 58_20190210_102913.jpg,x,
F8-camacani_1,SALxCOL 30_20190210_115839.jpg,x,
F8-camacani_1,PASxKCA 1_20190210_115941.jpg,x,
F8-camacani_1,PASxKCA 42_20190210_103024.jpg,x,
F8-camacani_1,COLxKCA 114_20190210_102511.jpg,x,
F8-camacani_1,SAL_20190210_100655.jpg,x,
F8-camacani_1,HUA_20190210_100248.jpg,x,
