img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F6-camacani_7,P3140380.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,737.0,3510.0,4540276.0,,103.65:67.88:37.63,57.05:46.41:33.51
F6-camacani_7,P3140226.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,922.0,3450.0,4388846.0,,108.83:96.94:45.36,37.91:33.41:23.74
F6-camacani_7,P3140410.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,994.0,2932.0,4474186.0,,91.65:75.4:43.57,44.29:40.47:27.84
F6-camacani_7,P3140186.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1191.0,3449.0,6966712.0,,116.58:61.75:31.33,51.43:38.19:27.1
F6-camacani_7,P3140369.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1191.0,3063.0,6173557.0,,96.57:89.25:37.73,47.29:38.61:22.92
F6-camacani_7,P3140094.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1022.0,3350.0,6507483.0,,114.19:68.38:43.34,49.56:42.31:27.31
F6-camacani_7,P3140428.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1273.0,3350.0,6751718.0,,83.97:70.59:47.54,51.02:46.63:35.99
F6-camacani_7,P3140070.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1289.0,3317.0,8169765.0,,90.24:95.98:59.13,44.13:40.99:32.87
F6-camacani_7,P3140355.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,996.0,3229.0,5525116.0,,93.36:76.12:41.52,47.57:41.2:33.5
F6-camacani_7,P3140391.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1319.0,3397.0,7976266.0,,76.28:88.23:63.97,39.77:39.91:34.81
F6-camacani_7,P3140493.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1584.0,3403.0,9133752.0,,79.67:86.13:56.79,39.79:36.45:30.36
F6-camacani_7,P3140149.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,828.0,3647.0,5404623.0,,95.93:78.97:34.75,40.62:31.64:20.87
F6-camacani_7,P3139988.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,574.0,2714.0,2307849.0,,98.1:87.09:44.3,45.62:36.61:26.71
F6-camacani_7,P3140368.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1450.0,2595.0,5674880.0,,95.36:72.13:44.21,53.02:47.94:32.86
F6-camacani_7,P3140268.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1024.0,3535.0,6165571.0,,95.1:83.93:42.77,45.46:39.41:31.64
F6-camacani_7,P3140422.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1240.0,3413.0,7200448.0,,95.73:75.81:51.23,49.15:45.7:32.81
F6-camacani_7,P3140404.jpg,NA,2736:3648,,,,,,,,,,,1.0,1.0,2234.0,3228.0,5721338.0,,116.35:107.01:82.24,47.75:44.53:49.66
F6-camacani_7,P3140052.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1160.0,3265.0,6417198.0,,66.85:65.58:27.29,43.55:38.36:23.97
F6-camacani_7,P3140224.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1088.0,3060.0,5435812.0,,96.99:69.58:43.22,44.77:39.79:24.38
F6-camacani_7,P3140365.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1130.0,3493.0,6325677.0,,89.5:92.87:48.43,50.37:45.09:33.24
F6-camacani_7,P3140232.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,967.0,3505.0,5974304.0,,122.5:98.9:37.75,45.33:36.3:23.76
F6-camacani_7,P3140442.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1035.0,3418.0,5908867.0,,97.89:83.28:46.24,52.78:45.55:31.91
F6-camacani_7,P3140127.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1888.0,3065.0,8373356.0,,134.6:103.23:37.51,43.39:36.08:25.49
F6-camacani_7,P3139993.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,493.0,2660.0,1977668.0,,80.18:65.47:33.23,41.75:31.82:23.95
F6-camacani_7,P3140304.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1567.0,3648.0,9876241.0,,90.97:88.28:37.21,53.1:46.31:32.2
F6-camacani_7,P3140288.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,765.0,3551.0,4475167.0,,128.47:104.71:50.88,50.18:39.2:32.28
F6-camacani_7,P3140059.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1240.0,3385.0,7669745.0,,92.73:97.58:45.73,42.33:38.96:26.05
F6-camacani_7,P3140322.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,798.0,3562.0,4539038.0,,101.39:88.89:41.82,50.45:40.93:30.69
F6-camacani_7,P3140220.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,983.0,3039.0,4690115.0,,90.27:94.62:56.42,35.22:33.2:28.3
F6-camacani_7,P3140476.jpg,NA,3648:2736,,,,,,,,,,,2.0,1.0,1927.0,3468.0,8301709.0,,86.25:85.23:37.59,40.63:34.61:25.51
F6-camacani_7,P3140476.jpg,NA,3648:2736,,,,,,,,,,,2.0,2.0,1316.0,1666.0,3242579.0,,85.9:85.49:36.9,42.39:35.81:24.94
F6-camacani_7,P3140184.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,908.0,3418.0,5585528.0,,96.03:55.94:32.35,44.16:38.03:24.13
F6-camacani_7,P3140345.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1009.0,3481.0,6127919.0,,122.19:120.03:65.38,54.96:49.91:36.14
F6-camacani_7,P3140078.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,937.0,3498.0,5785587.0,,103.68:95.38:37.18,44.42:37.12:22.79
F6-camacani_7,P3140089.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1094.0,3452.0,6943139.0,,85.36:58.09:33.75,46.34:35.82:26.61
F6-camacani_7,P3140108.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1448.0,3364.0,6704789.0,,74.13:75.07:37.04,39.53:37.24:33.86
F6-camacani_7,P3140302.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1356.0,3559.0,7927696.0,,77.23:81.42:47.39,42.7:39.68:31.23
F6-camacani_7,P3140083.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1080.0,3543.0,6170085.0,,60.42:50.98:48.37,36.45:37.16:31.6
F6-camacani_7,P3140478.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1486.0,3019.0,6203285.0,,85.84:60.67:33.17,42.18:35.54:23.74
F6-camacani_7,P3140439.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1187.0,3198.0,7283197.0,,86.77:60.72:47.49,48.5:41.54:31.12
F6-camacani_7,P3140497.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1039.0,3264.0,5879861.0,,88.9:66.9:50.75,63.16:57.75:48.9
F6-camacani_7,P3140217.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1015.0,3648.0,5914576.0,,103.54:85.93:36.18,45.2:37.86:28.68
F6-camacani_7,P3140073.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1097.0,3349.0,6454016.0,,93.47:54.52:44.33,39.34:35.27:26.97
F6-camacani_7,P3140058.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1234.0,3068.0,6698815.0,,93.83:71.7:40.37,40.48:39.69:24.9
F6-camacani_7,P3140091.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1180.0,3207.0,6537911.0,,93.5:68.89:38.46,52.17:43.58:30.0
F6-camacani_7,P3140093.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1162.0,3254.0,6140785.0,,111.1:77.93:39.89,53.56:42.63:29.9
F6-camacani_7,P3140048.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,794.0,3469.0,4728414.0,,74.98:78.73:39.06,37.23:33.28:23.93
F6-camacani_7,P3140079.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1007.0,2916.0,5401563.0,,83.95:53.96:36.04,39.03:34.62:21.29
F6-camacani_7,P3140311.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1607.0,3101.0,9070555.0,,94.27:77.12:47.01,52.43:48.87:34.65
F6-camacani_7,P3140395.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,926.0,3486.0,5427984.0,,101.61:105.05:60.43,57.14:52.99:39.94
F6-camacani_7,P3140401.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1117.0,3473.0,6677632.0,,97.73:88.72:40.33,56.58:49.48:34.39
F6-camacani_7,P3140137.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1519.0,3077.0,8470387.0,,119.84:93.1:41.69,53.26:41.97:28.91
F6-camacani_7,P3140210.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1166.0,3315.0,6115452.0,,123.55:59.9:38.84,46.36:38.41:27.27
F6-camacani_7,P3140123.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1003.0,3648.0,6653948.0,,111.68:82.22:33.92,48.27:36.07:24.12
F6-camacani_7,P3140414.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1239.0,2839.0,5817293.0,,103.34:98.77:48.72,52.94:45.29:31.41
