img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F6-camacani_4,_DSC0732(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,449.0,2383.0,1570445.0,,119.54:106.64:93.68,48.08:52.08:45.76
F6-camacani_4,_DSC0732(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,315.0,3474.0,1788290.0,,120.4:113.35:90.27,38.21:39.04:43.01
F6-camacani_4,_DSC0644(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,658.0,2650.0,2112882.0,,146.08:99.48:98.02,43.93:42.84:42.4
F6-camacani_4,_DSC0644(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,418.0,1173.0,687102.0,,147.23:99.77:93.78,45.15:43.32:37.88
F6-camacani_4,_DSC0577(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,854.0,2467.0,3497530.0,,134.66:128.05:100.44,40.52:42.63:46.09
F6-camacani_4,_DSC0649(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,898.0,3213.0,5211961.0,,130.73:118.56:103.98,52.82:54.68:49.15
F6-camacani_4,_DSC0701(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,702.0,3025.0,3509061.0,,136.55:141.02:111.59,43.3:44.58:50.19
F6-camacani_4,_DSC0630(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,998.0,2970.0,4651117.0,,152.67:118.66:100.5,52.67:52.33:44.37
F6-camacani_4,_DSC0569(4).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,1017.0,3429.0,5490815.0,,124.44:111.26:73.54,72.11:64.2:58.54
F6-camacani_4,_DSC0569(4).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,1044.0,2209.0,3504072.0,,96.47:94.65:69.67,68.76:64.32:61.44
F6-camacani_4,_DSC0733(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,713.0,3016.0,3398845.0,,126.59:99.66:80.22,44.79:45.37:45.48
F6-camacani_4,_DSC0676(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,1063.0,3066.0,3062499.0,,127.31:111.47:81.98,43.68:43.7:49.64
F6-camacani_4,_DSC0670(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,568.0,2673.0,2381962.0,,122.08:107.55:76.66,42.48:42.29:41.88
F6-camacani_4,_DSC0577(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,636.0,2614.0,2070185.0,,147.42:109.17:91.8,46.2:44.41:45.47
F6-camacani_4,_DSC0625(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,1091.0,2837.0,4977412.0,,140.35:116.78:87.85,51.36:49.66:44.86
F6-camacani_4,_DSC0641(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,661.0,2861.0,2874130.0,,124.87:93.24:85.9,41.83:42.8:42.6
F6-camacani_4,_DSC0731(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,353.0,2273.0,1245616.0,,107.77:96.1:85.79,43.93:45.92:44.08
