img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F8-camacani_1,PASxKCA 158_20190210_104308.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,534.0,1905.0,820359.0,,184.27:154.47:164.33,38.82:30.67:34.97
F8-camacani_1,COLxKCA 29_20190210_120032.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,533.0,1765.0,982290.0,,174.96:152.47:150.16,45.08:37.29:45.21
F8-camacani_1,HUAxKCA 53_20190210_100746.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,621.0,2199.0,1513452.0,,159.26:145.5:125.23,46.77:31.08:46.9
F8-camacani_1,HUAxKCA 194_20190210_100621.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,634.0,2433.0,1827651.0,,143.8:139.86:121.24,42.46:29.71:42.27
F8-camacani_1,PAS_20190210_104120.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,642.0,1494.0,1113843.0,,175.51:139.08:156.24,42.32:38.57:42.59
F8-camacani_1,COL_20190210_100840.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,567.0,1893.0,1218588.0,,163.87:139.48:140.26,45.58:35.74:45.04
F8-camacani_1,ATP_20190210_102317.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,597.0,1237.0,1284771.0,,159.19:155.85:142.57,45.42:40.84:44.24
F8-camacani_1,PAN_20190210_104601.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,592.0,2471.0,1921860.0,,138.13:133.62:122.93,39.36:35.54:41.07
F8-camacani_1,SALxPAN 165_20190210_102420.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,651.0,1996.0,1328343.0,,182.48:167.38:163.25,48.19:40.86:44.57
F8-camacani_1,SALxHUA 195_20190210_120135.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,483.0,2068.0,1073523.0,,171.99:167.67:153.35,51.8:37.58:43.55
F8-camacani_1,COLxKCA 14_20190210_115618.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,619.0,2311.0,1988850.0,,138.13:128.59:127.52,44.31:33.23:38.72
F8-camacani_1,HUAxKCA 174_20190210_102712.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,587.0,2072.0,1500900.0,,159.32:134.9:127.12,47.63:38.22:44.91
F8-camacani_1,SALxCOL 46_20190210_102215.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,577.0,2149.0,1225569.0,,169.9:169.13:161.0,44.92:40.48:42.51
F8-camacani_1,SALxCOL 37_20190210_102557.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,889.0,2463.0,3191043.0,,147.63:147.19:133.26,48.8:43.29:44.65
F8-camacani_1,KCA_20190210_104228.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,607.0,2318.0,2160711.0,,163.95:131.27:142.73,40.96:36.31:36.69
F8-camacani_1,SALxHUA 6_20190210_102744.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,470.0,1846.0,1183188.0,,173.49:167.66:150.97,42.32:36.68:41.28
F8-camacani_1,SALxPAN 171_20190210_102840.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,467.0,1417.0,862470.0,,189.61:173.82:165.43,43.4:38.05:43.35
F8-camacani_1,SALxHUA 33_20190210_104423.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,517.0,1848.0,928815.0,,168.45:162.68:158.94,39.05:34.29:37.74
F8-camacani_1,SALxPAN 58_20190210_102913.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,686.0,2290.0,2601522.0,,166.13:146.46:131.36,44.07:37.42:41.11
F8-camacani_1,SALxCOL 30_20190210_115839.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,613.0,2057.0,1322418.0,,154.47:150.76:137.22,42.22:37.83:40.31
F8-camacani_1,PASxKCA 1_20190210_115941.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,613.0,2163.0,1815723.0,,165.6:144.63:141.52,40.68:33.55:40.41
F8-camacani_1,PASxKCA 42_20190210_103024.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,958.0,2301.0,3148266.0,,158.94:130.78:136.43,45.84:36.09:41.96
F8-camacani_1,COLxKCA 114_20190210_102511.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,476.0,2217.0,1468674.0,,156.7:143.89:143.03,46.55:37.81:43.35
F8-camacani_1,SAL_20190210_100655.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,641.0,1359.0,1324404.0,,172.32:177.28:157.99,51.95:45.4:53.62
F8-camacani_1,HUA_20190210_100248.jpg,NA,2560:1440,,,,,,,,,,,1.0,1.0,762.0,2156.0,1755903.0,,161.0:135.41:132.06,42.37:39.04:42.0
