img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F6-camacani_5,_DSC0805(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,836.0,2858.0,3646894.0,,178.56:154.33:101.31,40.87:41.88:51.64
F6-camacani_5,_DSC0903(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,585.0,2008.0,2257338.0,,135.52:121.18:72.68,49.1:42.98:37.14
F6-camacani_5,_DSC0903(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,604.0,2892.0,3198064.0,,120.48:112.05:63.29,49.99:44.49:40.81
F6-camacani_5,_DSC0789(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,746.0,3067.0,3585601.0,,138.21:118.53:81.35,32.55:30.66:44.02
F6-camacani_5,_DSC0773(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,727.0,3151.0,3848551.0,,128.25:117.23:81.75,40.37:39.39:48.68
F6-camacani_5,_DSC0950(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,609.0,2973.0,3084911.0,,118.64:118.64:83.91,51.98:52.05:50.1
F6-camacani_5,_DSC0806(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,826.0,3248.0,4591400.0,,110.98:98.59:82.66,56.18:52.71:53.74
F6-camacani_5,_DSC0932(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,2253.0,2830.0,10528391.0,,144.4:120.39:96.63,55.67:59.67:62.14
F6-camacani_5,_DSC0925(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,1035.0,3109.0,6095847.0,,134.39:119.91:97.26,59.93:60.12:52.74
F6-camacani_5,_DSC0952(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,744.0,3194.0,3036118.0,,156.23:133.82:85.27,44.49:38.73:34.51
F6-camacani_5,_DSC0952(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,398.0,1336.0,645546.0,,131.77:124.73:79.92,36.02:30.59:33.94
F6-camacani_5,_DSC0760(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,759.0,2911.0,3553400.0,,157.89:129.33:81.61,36.17:36.87:48.78
F6-camacani_5,_DSC0791(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,548.0,3220.0,2405643.0,,139.26:93.89:79.16,53.1:53.13:60.21
F6-camacani_5,_DSC0791(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,436.0,2315.0,1617059.0,,127.41:114.06:84.55,53.31:50.99:59.41
F6-camacani_5,_DSC0826(2).jpg,NA,2448:3696,,,,,,,,,,,3.0,1.0,582.0,2117.0,2262894.0,,110.85:96.69:93.64,42.17:42.58:42.3
F6-camacani_5,_DSC0826(2).jpg,NA,2448:3696,,,,,,,,,,,3.0,2.0,575.0,3060.0,3029363.0,,104.88:92.56:91.41,44.15:46.37:48.17
F6-camacani_5,_DSC0826(2).jpg,NA,2448:3696,,,,,,,,,,,3.0,3.0,432.0,942.0,592791.0,,113.51:96.71:101.08,43.43:46.79:49.16
F6-camacani_5,_DSC0892(3).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,418.0,2565.0,1531974.0,,94.3:92.88:95.15,44.52:44.56:54.05
F6-camacani_5,_DSC0904(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,843.0,2902.0,3508162.0,,125.54:99.39:71.67,53.49:45.36:48.09
F6-camacani_5,_DSC0904(3).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,672.0,2171.0,2606370.0,,107.26:91.0:56.95,46.17:37.72:34.13
F6-camacani_5,_DSC0956(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,868.0,3025.0,4146068.0,,102.53:98.27:68.96,56.43:56.12:56.86
F6-camacani_5,_DSC0956(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,1135.0,2978.0,4708723.0,,99.59:88.82:72.84,55.27:55.36:59.6
F6-camacani_5,_DSC0809(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,1.0,867.0,3010.0,4158084.0,,121.47:111.12:83.09,60.88:56.54:56.59
F6-camacani_5,_DSC0809(2).jpg,NA,2448:3696,,,,,,,,,,,2.0,2.0,328.0,1995.0,1160865.0,,124.24:116.26:92.72,51.52:49.23:55.76
F6-camacani_5,_DSC0769(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,703.0,3105.0,3761361.0,,189.35:105.97:108.12,48.36:49.86:40.4
F6-camacani_5,_DSC0940(2).jpg,NA,2448:3696,,,,,,,,,,,1.0,1.0,695.0,2744.0,2235263.0,,141.23:97.58:54.66,50.29:51.15:47.28
