folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_8,P3140728.jpg,x,
F6-camacani_8,P3140888.jpg,x,
F6-camacani_8,P3140863.jpg,x,
F6-camacani_8,P3140755.jpg,x,
F6-camacani_8,P3140572.jpg,x,
F6-camacani_8,P3140568.jpg,x,
F6-camacani_8,P3140606.jpg,x,
F6-camacani_8,P3140879.jpg,x,
F6-camacani_8,P3140538.jpg,x,
F6-camacani_8,P3140646.jpg,x,
F6-camacani_8,P3140890.jpg,x,
F6-camacani_8,P3140640.jpg,x,
F6-camacani_8,P3140962.jpg,x,
F6-camacani_8,P3140726.jpg,x,
F6-camacani_8,P3140715.jpg,x,
F6-camacani_8,P3140596.jpg,x,
F6-camacani_8,P3140524.jpg,x,
F6-camacani_8,P3140600.jpg,x,
F6-camacani_8,P3140796.jpg,x,
F6-camacani_8,P3140543.jpg,x,
F6-camacani_8,P3140584.jpg,x,
F6-camacani_8,P3140800.jpg,x,
F6-camacani_8,P3140598.jpg,x,
F6-camacani_8,P3140802.jpg,x,
F6-camacani_8,P3140686.jpg,x,
F6-camacani_8,P3140805.jpg,x,
F6-camacani_8,P3140710.jpg,x,
F6-camacani_8,P3140775.jpg,x,
F6-camacani_8,P3140934.jpg,x,
F6-camacani_8,P3140711.jpg,x,
F6-camacani_8,P3140905.jpg,x,
F6-camacani_8,P3140806.jpg,x,
F6-camacani_8,P3140742.jpg,x,
F6-camacani_8,P3140522.jpg,x,
F6-camacani_8,P3140924.jpg,x,
F6-camacani_8,P3140510.jpg,x,
F6-camacani_8,P3140560.jpg,x,
F6-camacani_8,P3140674.jpg,x,
F6-camacani_8,P3140684.jpg,x,
F6-camacani_8,P3140645.jpg,x,
F6-camacani_8,P3140566.jpg,x,
F6-camacani_8,P3140722.jpg,x,
F6-camacani_8,P3140785.jpg,x,
F6-camacani_8,P3140836.jpg,x,
F6-camacani_8,P3140720.jpg,x,
F6-camacani_8,P3140546.jpg,x,
F6-camacani_8,P3140820.jpg,x,
F6-camacani_8,P3140832.jpg,x,
F6-camacani_8,P3140761.jpg,x,
F6-camacani_8,P3140818.jpg,x,
F6-camacani_8,P3140926.jpg,x,
F6-camacani_8,P3140894.jpg,x,
F6-camacani_8,P3140624.jpg,x,
F6-camacani_8,P3140724.jpg,x,
F6-camacani_8,P3140948.jpg,x,
F6-camacani_8,P3140654.jpg,x,
F6-camacani_8,P3140960.jpg,x,
F6-camacani_8,P3140621.jpg,x,
F6-camacani_8,P3140932.jpg,x,
F6-camacani_8,P3140501.jpg,x,
F6-camacani_8,P3140880.jpg,x,
F6-camacani_8,P3140699.jpg,x,
F6-camacani_8,P3140630.jpg,x,
F6-camacani_8,P3140872.jpg,x,
F6-camacani_8,P3140798.jpg,x,
F6-camacani_8,P3140799.jpg,x,
F6-camacani_8,P3140657.jpg,x,
F6-camacani_8,P3140856.jpg,x,
F6-camacani_8,P3140714.jpg,x,
F6-camacani_8,P3140608.jpg,x,
F6-camacani_8,P3140656.jpg,x,
F6-camacani_8,P3140504.jpg,x,
F6-camacani_8,P3140532.jpg,x,
F6-camacani_8,P3140851.jpg,x,
F6-camacani_8,P3140787.jpg,x,
F6-camacani_8,P3140571.jpg,x,
F6-camacani_8,P3140781.jpg,x,
F6-camacani_8,P3140740.jpg,x,
F6-camacani_8,P3140707.jpg,x,
F6-camacani_8,P3140592.jpg,x,
F6-camacani_8,P3140547.jpg,x,
F6-camacani_8,P3140898.jpg,x,
F6-camacani_8,P3140917.jpg,x,
F6-camacani_8,P3140552.jpg,x,
F6-camacani_8,P3140578.jpg,x,
F6-camacani_8,P3140589.jpg,x,
F6-camacani_8,P3140696.jpg,x,
F6-camacani_8,P3140558.jpg,x,
F6-camacani_8,P3140644.jpg,x,
F6-camacani_8,P3140928.jpg,x,
F6-camacani_8,P3140830.jpg,x,
F6-camacani_8,P3140816.jpg,x,
F6-camacani_8,P3140605.jpg,x,
F6-camacani_8,P3140662.jpg,x,
F6-camacani_8,P3140642.jpg,x,
F6-camacani_8,P3140794.jpg,x,
F6-camacani_8,P3140666.jpg,x,
F6-camacani_8,P3140858.jpg,x,
F6-camacani_8,P3140900.jpg,x,
F6-camacani_8,P3140516.jpg,x,
F6-camacani_8,P3140708.jpg,x,
F6-camacani_8,P3140944.jpg,x,
F6-camacani_8,P3140658.jpg,x,
F6-camacani_8,P3140804.jpg,x,
F6-camacani_8,P3140723.jpg,x,
F6-camacani_8,P3140908.jpg,x,
F6-camacani_8,P3140632.jpg,x,
F6-camacani_8,P3140668.jpg,x,
F6-camacani_8,P3140958.jpg,x,
F6-camacani_8,P3140956.jpg,x,
F6-camacani_8,P3140676.jpg,x,
F6-camacani_8,P3140771.jpg,x,
F6-camacani_8,P3140828.jpg,x,
F6-camacani_8,P3140860.jpg,x,
F6-camacani_8,P3140834.jpg,x,
F6-camacani_8,P3140673.jpg,x,
F6-camacani_8,P3140692.jpg,x,
F6-camacani_8,P3140831.jpg,x,
F6-camacani_8,P3140757.jpg,x,
F6-camacani_8,P3140827.jpg,x,
F6-camacani_8,P3140815.jpg,x,
F6-camacani_8,P3140918.jpg,x,
F6-camacani_8,P3140734.jpg,x,
F6-camacani_8,P3140946.jpg,x,
F6-camacani_8,P3140704.jpg,x,
F6-camacani_8,P3140582.jpg,x,
F6-camacani_8,P3140620.jpg,x,
F6-camacani_8,P3140544.jpg,x,
F6-camacani_8,P3140822.jpg,x,
F6-camacani_8,P3140868.jpg,x,
F6-camacani_8,P3140896.jpg,x,
F6-camacani_8,P3140649.jpg,x,
F6-camacani_8,P3140661.jpg,x,
F6-camacani_8,P3140882.jpg,x,
F6-camacani_8,P3140938.jpg,x,
F6-camacani_8,P3140936.jpg,x,
F6-camacani_8,P3140843.jpg,x,
F6-camacani_8,P3140616.jpg,x,
F6-camacani_8,P3140878.jpg,x,
F6-camacani_8,P3140769.jpg,x,
F6-camacani_8,P3140727.jpg,x,
F6-camacani_8,P3140634.jpg,x,
F6-camacani_8,P3140846.jpg,x,
F6-camacani_8,P3140779.jpg,x,
F6-camacani_8,P3140942.jpg,x,
F6-camacani_8,P3140738.jpg,x,
F6-camacani_8,P3140680.jpg,x,
F6-camacani_8,P3140540.jpg,x,
F6-camacani_8,P3140786.jpg,x,
F6-camacani_8,P3140698.jpg,x,
F6-camacani_8,P3140551.jpg,x,
F6-camacani_8,P3140791.jpg,x,
F6-camacani_8,P3140913.jpg,x,
F6-camacani_8,P3140609.jpg,x,
F6-camacani_8,P3140702.jpg,x,
F6-camacani_8,P3140744.jpg,x,
F6-camacani_8,P3140848.jpg,x,
F6-camacani_8,P3140677.jpg,x,
F6-camacani_8,P3140884.jpg,x,
F6-camacani_8,P3140783.jpg,x,
F6-camacani_8,P3140622.jpg,x,
F6-camacani_8,P3140840.jpg,x,
F6-camacani_8,P3140576.jpg,x,
F6-camacani_8,P3140839.jpg,x,
F6-camacani_8,P3140763.jpg,x,
