folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_2,_DSC0319(2).jpg,x,
F6-camacani_2,_DSC0355(2).jpg,x,
F6-camacani_2,_DSC0300(2).jpg,x,
F6-camacani_2,_DSC0376(2).jpg,x,
F6-camacani_2,_DSC0243(3).jpg,x,
F6-camacani_2,_DSC0267(4).jpg,x,
F6-camacani_2,_DSC0353(3).jpg,x,
F6-camacani_2,_DSC0262(2).jpg,x,
F6-camacani_2,_DSC0254(4).jpg,x,
F6-camacani_2,_DSC0278(2).jpg,x,
F6-camacani_2,_DSC0318(2).jpg,x,
F6-camacani_2,_DSC0305(3).jpg,x,
F6-camacani_2,_DSC0247(2).jpg,x,
F6-camacani_2,_DSC0325(3).jpg,x,
F6-camacani_2,_DSC0241(3).jpg,x,
F6-camacani_2,_DSC0237(3).jpg,x,
F6-camacani_2,_DSC0326(3).jpg,x,
F6-camacani_2,_DSC0309(3).jpg,x,
F6-camacani_2,_DSC0322(2).jpg,x,
F6-camacani_2,_DSC0301(4).jpg,x,
F6-camacani_2,_DSC0375(2).jpg,x,
F6-camacani_2,_DSC0312(4).jpg,x,
F6-camacani_2,_DSC0383(3).jpg,x,
F6-camacani_2,_DSC0277(2).jpg,x,
F6-camacani_2,_DSC0329(3).jpg,x,
F6-camacani_2,_DSC0273(4).jpg,x,
F6-camacani_2,_DSC0254(3).jpg,x,
F6-camacani_2,_DSC0256(3).jpg,x,
F6-camacani_2,_DSC0308(2).jpg,x,
F6-camacani_2,_DSC0354(4).jpg,x,
F6-camacani_2,_DSC0352(2).jpg,x,
F6-camacani_2,_DSC0373(3).jpg,x,
F6-camacani_2,_DSC0333(3).jpg,x,
F6-camacani_2,_DSC0371(3).jpg,x,
F6-camacani_2,_DSC0358(3).jpg,x,
F6-camacani_2,_DSC0276(4).jpg,x,
F6-camacani_2,_DSC0278(3).jpg,x,
F6-camacani_2,_DSC0366(3).jpg,x,
F6-camacani_2,_DSC0277(4).jpg,x,
F6-camacani_2,_DSC0378(2).jpg,x,
F6-camacani_2,_DSC0364(3).jpg,x,
F6-camacani_2,_DSC0378(4).jpg,x,
F6-camacani_2,_DSC0367(4).jpg,x,
F6-camacani_2,_DSC0270(3).jpg,x,
