folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_3,_DSC0459(2).jpg,x,
F6-camacani_3,_DSC0420(2).jpg,x,
F6-camacani_3,_DSC0453(4).jpg,x,
F6-camacani_3,_DSC0450(3).jpg,x,
F6-camacani_3,_DSC0501(3).jpg,x,
F6-camacani_3,_DSC0518(4).jpg,x,
F6-camacani_3,_DSC0455(4).jpg,x,
F6-camacani_3,_DSC0440(2).jpg,x,
F6-camacani_3,_DSC0488(2).jpg,x,
F6-camacani_3,_DSC0463(2).jpg,x,
F6-camacani_3,_DSC0398(2).jpg,x,
F6-camacani_3,_DSC0503(3).jpg,x,
F6-camacani_3,_DSC0492(4).jpg,x,
F6-camacani_3,_DSC0498(4).jpg,x,
F6-camacani_3,_DSC0423(2).jpg,x,
F6-camacani_3,_DSC0459(3).jpg,x,
F6-camacani_3,_DSC0449(2).jpg,x,
F6-camacani_3,_DSC0514(3).jpg,x,
F6-camacani_3,_DSC0444(4).jpg,x,
F6-camacani_3,_DSC0439(4).jpg,x,
F6-camacani_3,_DSC0526(3).jpg,x,
F6-camacani_3,_DSC0510(3).jpg,x,
F6-camacani_3,_DSC0476(2).jpg,x,
F6-camacani_3,_DSC0428(3).jpg,x,
F6-camacani_3,_DSC0513(2).jpg,x,
F6-camacani_3,_DSC0527(2).jpg,x,
F6-camacani_3,_DSC0424(4).jpg,x,
F6-camacani_3,_DSC0437(2).jpg,x,
F6-camacani_3,_DSC0386(3).jpg,x,
F6-camacani_3,_DSC0402(3).jpg,x,
F6-camacani_3,_DSC0456(2).jpg,x,
F6-camacani_3,_DSC0387(2).jpg,x,
F6-camacani_3,_DSC0434(2).jpg,x,
F6-camacani_3,_DSC0465(3).jpg,x,
F6-camacani_3,_DSC0521(2).jpg,x,
F6-camacani_3,_DSC0537(2).jpg,x,
F6-camacani_3,_DSC0455(3).jpg,x,
F6-camacani_3,_DSC0437(3).jpg,x,
F6-camacani_3,_DSC0473(2).jpg,x,
F6-camacani_3,_DSC0514(4).jpg,x,
F6-camacani_3,_DSC0419(4).jpg,x,
F6-camacani_3,_DSC0485(4).jpg,x,
F6-camacani_3,_DSC0516(2).jpg,x,
F6-camacani_3,_DSC0424(2).jpg,x,
F6-camacani_3,_DSC0444(2).jpg,x,
F6-camacani_3,_DSC0531(3).jpg,x,
F6-camacani_3,_DSC0436(3).jpg,x,
F6-camacani_3,_DSC0478(3).jpg,x,
F6-camacani_3,_DSC0431(3).jpg,x,
F6-camacani_3,_DSC0506(2).jpg,x,
F6-camacani_3,_DSC0483(3).jpg,x,
F6-camacani_3,_DSC0466(3).jpg,x,
F6-camacani_3,_DSC0475(2).jpg,x,
F6-camacani_3,_DSC0497(2).jpg,x,
F6-camacani_3,_DSC0412(2).jpg,x,
F6-camacani_3,_DSC0418(4).jpg,x,
F6-camacani_3,_DSC0394(4).jpg,x,
F6-camacani_3,_DSC0465(2).jpg,x,
F6-camacani_3,_DSC0427(4).jpg,x,
F6-camacani_3,_DSC0456(4).jpg,x,
F6-camacani_3,_DSC0443(2).jpg,x,
F6-camacani_3,_DSC0491(2).jpg,x,
F6-camacani_3,_DSC0485(2).jpg,x,
F6-camacani_3,_DSC0439(3).jpg,x,
F6-camacani_3,_DSC0483(2).jpg,x,
F6-camacani_3,_DSC0449(4).jpg,x,
F6-camacani_3,_DSC0409(3).jpg,x,
F6-camacani_3,_DSC0481(2).jpg,x,
F6-camacani_3,_DSC0462(4).jpg,x,
F6-camacani_3,_DSC0410(2).jpg,x,
F6-camacani_3,_DSC0409(4).jpg,x,
F6-camacani_3,_DSC0401(2).jpg,x,
F6-camacani_3,_DSC0405(3).jpg,x,
F6-camacani_3,_DSC0480(4).jpg,x,
F6-camacani_3,_DSC0467(2).jpg,x,
F6-camacani_3,_DSC0510(2).jpg,x,
F6-camacani_3,_DSC0489(3).jpg,x,
F6-camacani_3,_DSC0490(4).jpg,x,
F6-camacani_3,_DSC0469(3).jpg,x,
F6-camacani_3,_DSC0465(4).jpg,x,
F6-camacani_3,_DSC0397(2).jpg,x,
F6-camacani_3,_DSC0417(3).jpg,x,
F6-camacani_3,_DSC0396(4).jpg,x,
F6-camacani_3,_DSC0508(4).jpg,x,
F6-camacani_3,_DSC0520(3).jpg,x,
F6-camacani_3,_DSC0512(4).jpg,x,
F6-camacani_3,_DSC0443(3).jpg,x,
F6-camacani_3,_DSC0481(3).jpg,x,
F6-camacani_3,_DSC0416(2).jpg,x,
F6-camacani_3,_DSC0430(2).jpg,x,
F6-camacani_3,_DSC0516(4).jpg,x,
F6-camacani_3,_DSC0487(3).jpg,x,
F6-camacani_3,_DSC0539(2).jpg,x,
F6-camacani_3,_DSC0413(2).jpg,x,
F6-camacani_3,_DSC0414(2).jpg,x,
F6-camacani_3,_DSC0429(4).jpg,x,
F6-camacani_3,_DSC0411(4).jpg,x,
F6-camacani_3,_DSC0403(4).jpg,x,
F6-camacani_3,_DSC0405(2).jpg,x,
F6-camacani_3,_DSC0471(3).jpg,x,
F6-camacani_3,_DSC0520(2).jpg,x,
F6-camacani_3,_DSC0477(4).jpg,x,
F6-camacani_3,_DSC0472(3).jpg,x,
F6-camacani_3,_DSC0461(2).jpg,x,
F6-camacani_3,_DSC0536(3).jpg,x,
F6-camacani_3,_DSC0525(2).jpg,x,
F6-camacani_3,_DSC0441(2).jpg,x,
F6-camacani_3,_DSC0523(3).jpg,x,
F6-camacani_3,_DSC0417(2).jpg,x,
F6-camacani_3,_DSC0507(2).jpg,x,
F6-camacani_3,_DSC0416(4).jpg,x,
F6-camacani_3,_DSC0447(4).jpg,x,
F6-camacani_3,_DSC0519(3).jpg,x,
F6-camacani_3,_DSC0467(4).jpg,x,
F6-camacani_3,_DSC0386(4).jpg,x,
F6-camacani_3,_DSC0460(2).jpg,x,
F6-camacani_3,_DSC0502(2).jpg,x,
F6-camacani_3,_DSC0388(2).jpg,x,
F6-camacani_3,_DSC0421(2).jpg,x,
F6-camacani_3,_DSC0458(4).jpg,x,
F6-camacani_3,_DSC0500(3).jpg,x,
F6-camacani_3,_DSC0484(3).jpg,x,
F6-camacani_3,_DSC0471(4).jpg,x,
F6-camacani_3,_DSC0475(3).jpg,x,
F6-camacani_3,_DSC0427(3).jpg,x,
F6-camacani_3,_DSC0514(2).jpg,x,
F6-camacani_3,_DSC0468(4).jpg,x,
F6-camacani_3,_DSC0398(3).jpg,x,
F6-camacani_3,_DSC0509(2).jpg,x,
F6-camacani_3,_DSC0440(4).jpg,x,
F6-camacani_3,_DSC0533(3).jpg,x,
F6-camacani_3,_DSC0468(2).jpg,x,
F6-camacani_3,_DSC0438(2).jpg,x,
F6-camacani_3,_DSC0528(4).jpg,x,
F6-camacani_3,_DSC0427(2).jpg,x,
F6-camacani_3,_DSC0436(2).jpg,x,
F6-camacani_3,_DSC0505(3).jpg,x,
F6-camacani_3,_DSC0487(2).jpg,x,
F6-camacani_3,_DSC0511(3).jpg,x,
F6-camacani_3,_DSC0453(2).jpg,x,
F6-camacani_3,_DSC0452(4).jpg,x,
F6-camacani_3,_DSC0418(3).jpg,x,
F6-camacani_3,_DSC0477(2).jpg,x,
F6-camacani_3,_DSC0479(2).jpg,x,
F6-camacani_3,_DSC0425(4).jpg,x,
F6-camacani_3,_DSC0495(2).jpg,x,
F6-camacani_3,_DSC0392(3).jpg,x,
F6-camacani_3,_DSC0425(3).jpg,x,
F6-camacani_3,_DSC0411(3).jpg,x,
F6-camacani_3,_DSC0388(4).jpg,x,
F6-camacani_3,_DSC0442(4).jpg,x,
F6-camacani_3,_DSC0400(4).jpg,x,
F6-camacani_3,_DSC0391(2).jpg,x,
F6-camacani_3,_DSC0388(3).jpg,x,
F6-camacani_3,_DSC0488(4).jpg,x,
F6-camacani_3,_DSC0429(2).jpg,x,
F6-camacani_3,_DSC0477(3).jpg,x,
F6-camacani_3,_DSC0504(4).jpg,x,
F6-camacani_3,_DSC0448(2).jpg,x,
F6-camacani_3,_DSC0415(3).jpg,x,
F6-camacani_3,_DSC0522(4).jpg,x,
F6-camacani_3,_DSC0414(4).jpg,x,
F6-camacani_3,_DSC0455(2).jpg,x,
F6-camacani_3,_DSC0453(3).jpg,x,
F6-camacani_3,_DSC0530(2).jpg,x,
F6-camacani_3,_DSC0412(4).jpg,x,
F6-camacani_3,_DSC0420(3).jpg,x,
