img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F6-camacani_8,P3140812.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1149.0,3248.0,6817166.0,,98.91:65.5:48.54,55.92:49.68:38.07
F6-camacani_8,P3140514.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1724.0,3041.0,8193026.0,,94.31:67.77:47.43,51.37:39.43:37.37
F6-camacani_8,P3140597.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,768.0,3207.0,3592754.0,,62.62:68.91:39.76,26.93:27.75:25.88
F6-camacani_8,P3140716.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,827.0,2898.0,3999110.0,,68.49:44.78:31.8,36.61:32.72:23.74
F6-camacani_8,P3140670.jpg,NA,3648:2736,,,,,,,,,,,2.0,1.0,1338.0,3124.0,5784636.0,,91.56:97.94:66.29,35.82:30.72:30.69
F6-camacani_8,P3140670.jpg,NA,3648:2736,,,,,,,,,,,2.0,2.0,648.0,1546.0,1432102.0,,73.51:88.23:65.34,30.17:29.25:29.64
F6-camacani_8,P3140650.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,947.0,3294.0,5240103.0,,96.69:71.95:50.79,69.79:63.88:47.88
F6-camacani_8,P3140700.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,889.0,2999.0,3944820.0,,80.99:59.42:42.18,37.26:31.37:26.29
F6-camacani_8,P3140509.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,986.0,3648.0,5080270.0,,79.04:90.94:60.77,39.9:36.52:33.24
F6-camacani_8,P3140638.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1080.0,3635.0,7529969.0,,102.76:80.85:53.25,67.42:63.38:45.0
F6-camacani_8,P3140810.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1204.0,3240.0,6167726.0,,123.52:65.48:38.8,48.16:44.48:33.1
F6-camacani_8,P3140753.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1073.0,3165.0,6072799.0,,92.26:68.43:38.79,42.9:37.7:23.14
F6-camacani_8,P3140508.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1381.0,3428.0,7801454.0,,76.56:67.2:53.38,38.33:34.43:33.11
F6-camacani_8,P3140602.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1160.0,2997.0,5595885.0,,68.59:73.08:34.29,58.8:56.02:41.06
F6-camacani_8,P3140844.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1107.0,3223.0,5505170.0,,91.51:95.25:41.82,52.31:46.38:33.58
F6-camacani_8,P3140735.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1355.0,3063.0,7572871.0,,93.17:69.47:35.73,44.34:42.81:26.48
F6-camacani_8,P3140536.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,985.0,2912.0,5355389.0,,104.71:68.63:43.38,44.72:36.8:23.88
F6-camacani_8,P3140570.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1068.0,3416.0,5871022.0,,95.98:77.3:39.34,55.39:49.21:35.05
F6-camacani_8,P3140505.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,950.0,3209.0,4763331.0,,73.03:77.23:39.15,39.85:36.18:25.35
F6-camacani_8,P3140556.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1124.0,3089.0,5459343.0,,59.39:47.2:39.58,27.16:25.59:20.54
F6-camacani_8,P3140914.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1011.0,2767.0,4661488.0,,82.3:61.42:39.4,41.64:33.99:24.55
F6-camacani_8,P3140814.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,892.0,3547.0,5944101.0,,117.75:97.18:42.62,50.81:41.89:31.11
F6-camacani_8,P3140636.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,962.0,2940.0,4793935.0,,72.3:74.77:40.39,60.1:55.67:41.15
F6-camacani_8,P3140916.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1114.0,3395.0,5693807.0,,70.33:64.65:38.61,36.06:32.56:25.16
F6-camacani_8,P3140542.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,2000.0,2924.0,8708046.0,,75.59:65.67:48.62,42.28:36.73:33.41
F6-camacani_8,P3140876.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1337.0,2997.0,4945880.0,,134.06:78.95:44.17,45.16:39.1:26.73
F6-camacani_8,P3140652.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,932.0,2744.0,4456582.0,,87.43:68.5:48.62,64.83:57.53:48.27
F6-camacani_8,P3140563.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,938.0,3218.0,5154528.0,,64.8:43.38:27.12,36.43:28.37:20.12
F6-camacani_8,P3140590.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1800.0,3391.0,7076801.0,,89.49:75.75:54.95,58.88:60.74:49.51
F6-camacani_8,P3140550.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1619.0,3521.0,9804613.0,,64.64:68.49:56.55,33.96:34.85:29.94
F6-camacani_8,P3140759.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1191.0,3603.0,6620281.0,,78.71:56.63:34.41,33.71:31.66:23.02
F6-camacani_8,P3140870.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1305.0,3477.0,7822990.0,,72.58:68.13:37.44,38.99:31.63:25.22
F6-camacani_8,P3140910.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,914.0,2840.0,3342068.0,,73.12:51.77:38.73,28.3:24.98:21.86
F6-camacani_8,P3140626.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,992.0,3052.0,5082998.0,,107.36:82.25:47.85,68.86:63.62:54.13
F6-camacani_8,P3140850.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1260.0,2876.0,6133063.0,,84.29:64.44:44.92,49.58:42.82:31.26
F6-camacani_8,P3140922.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1231.0,3051.0,5946387.0,,94.06:66.13:36.48,38.54:35.61:23.63
F6-camacani_8,P3140747.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1249.0,3192.0,6945165.0,,87.32:61.63:31.07,41.56:36.38:28.44
F6-camacani_8,P3140719.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1598.0,3648.0,9273460.0,,92.52:68.85:40.49,44.86:38.94:25.18
F6-camacani_8,P3140682.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1470.0,2551.0,6550024.0,,112.4:82.11:50.29,63.24:63.7:51.92
F6-camacani_8,P3140562.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1115.0,2433.0,3970138.0,,64.62:51.24:30.86,38.47:31.2:22.26
F6-camacani_8,P3140902.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1175.0,3225.0,6562087.0,,75.06:59.15:33.31,45.4:40.26:25.92
F6-camacani_8,P3140835.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,872.0,3400.0,5040867.0,,72.62:59.43:41.12,43.27:38.78:30.38
F6-camacani_8,P3140906.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,721.0,3054.0,4012047.0,,92.83:81.46:47.27,38.38:34.18:24.59
F6-camacani_8,P3140618.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1046.0,3360.0,5334205.0,,52.51:47.62:39.04,26.73:28.83:26.73
F6-camacani_8,P3140564.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,532.0,2202.0,1842388.0,,84.23:88.21:39.75,55.67:51.25:35.08
F6-camacani_8,P3140669.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1141.0,3511.0,6735877.0,,80.14:57.62:37.91,32.67:30.52:23.29
F6-camacani_8,P3140808.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1332.0,3002.0,5628606.0,,113.97:75.22:42.64,56.13:44.67:31.45
F6-camacani_8,P3140601.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,942.0,3161.0,5030111.0,,134.77:116.72:61.78,72.22:72.96:61.22
F6-camacani_8,P3140718.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1615.0,2880.0,7713996.0,,106.47:80.76:39.53,62.12:54.51:35.55
F6-camacani_8,P3140777.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1173.0,3496.0,6307734.0,,74.28:67.02:40.74,57.01:51.76:42.76
F6-camacani_8,P3140588.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1147.0,3257.0,7023504.0,,69.86:79.56:40.54,52.9:51.63:39.28
F6-camacani_8,P3140749.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1092.0,3351.0,5962824.0,,89.53:50.46:30.5,37.55:30.12:23.58
F6-camacani_8,P3140694.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,879.0,3243.0,5041619.0,,60.79:39.67:29.54,34.45:32.75:23.96
F6-camacani_8,P3140842.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,830.0,3276.0,4629500.0,,97.44:98.02:41.95,42.45:35.45:23.94
F6-camacani_8,P3140792.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1375.0,3499.0,7969731.0,,91.76:66.24:46.36,52.6:40.07:36.71
F6-camacani_8,P3140954.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1179.0,3403.0,6354501.0,,74.16:59.52:41.86,41.26:37.6:28.72
F6-camacani_8,P3140751.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1027.0,2918.0,5187885.0,,75.28:55.07:34.3,31.86:29.14:23.14
F6-camacani_8,P3140824.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1073.0,3399.0,6557609.0,,76.17:62.55:36.17,43.38:38.93:29.58
F6-camacani_8,P3140528.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1482.0,3466.0,9611243.0,,69.69:58.14:51.29,43.25:38.29:32.86
F6-camacani_8,P3140612.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1242.0,3561.0,6730984.0,,103.46:77.08:42.71,60.4:60.42:45.28
F6-camacani_8,P3140512.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,947.0,3539.0,6227579.0,,83.2:61.29:40.49,43.56:32.93:29.7
F6-camacani_8,P3140665.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1242.0,3648.0,8450021.0,,83.42:86.93:33.78,56.04:52.07:36.72
F6-camacani_8,P3140530.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1202.0,3399.0,6689959.0,,78.0:56.1:41.79,46.48:36.7:31.37
F6-camacani_8,P3140518.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1599.0,3480.0,9706120.0,,71.4:63.16:50.06,40.09:33.52:34.36
F6-camacani_8,P3140731.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1106.0,3297.0,5739442.0,,131.67:83.93:57.38,73.01:67.57:54.34
F6-camacani_8,P3140664.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1407.0,3290.0,7346813.0,,77.5:59.31:32.83,61.54:55.79:42.29
F6-camacani_8,P3140767.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1721.0,2946.0,6551242.0,,78.66:71.42:40.35,59.49:54.52:41.92
F6-camacani_8,P3140604.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1168.0,3321.0,7359955.0,,86.2:64.61:37.5,58.54:55.8:44.65
F6-camacani_8,P3140912.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1754.0,3335.0,7946749.0,,102.8:69.61:46.89,36.92:31.52:23.4
F6-camacani_8,P3140554.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1225.0,3503.0,7250826.0,,71.21:52.89:35.29,54.02:45.9:36.4
F6-camacani_8,P3140502.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1157.0,3196.0,6400830.0,,81.83:79.03:31.35,46.64:38.53:24.97
F6-camacani_8,P3140904.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1001.0,3152.0,5623982.0,,85.42:59.9:40.56,38.53:31.74:23.77
F6-camacani_8,P3140531.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1501.0,3615.0,8757745.0,,89.26:90.39:47.05,50.69:43.63:32.06
F6-camacani_8,P3140789.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,826.0,2930.0,4032341.0,,64.36:45.93:30.14,29.02:25.04:23.3
F6-camacani_8,P3140732.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1061.0,3105.0,5414169.0,,74.06:61.77:39.3,31.34:28.3:24.4
F6-camacani_8,P3140628.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1066.0,3286.0,5196400.0,,82.48:59.73:33.2,36.52:31.26:25.96
F6-camacani_8,P3140559.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1629.0,2587.0,6396549.0,,94.81:70.68:43.97,47.32:38.41:29.5
F6-camacani_8,P3140864.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,932.0,2956.0,4841800.0,,112.1:70.82:52.06,52.42:43.05:31.38
F6-camacani_8,P3140940.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1240.0,3168.0,5905187.0,,110.6:73.73:40.33,49.95:43.19:27.08
F6-camacani_8,P3140950.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1108.0,3323.0,5530714.0,,63.65:53.1:39.95,32.92:31.15:26.84
F6-camacani_8,P3140886.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1110.0,3258.0,6256830.0,,92.98:94.42:37.35,48.61:42.7:26.53
F6-camacani_8,P3140930.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1136.0,3485.0,7035984.0,,89.34:66.33:35.32,44.9:35.51:22.95
F6-camacani_8,P3140506.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,924.0,3343.0,4128615.0,,103.3:113.71:60.32,48.97:45.87:37.9
F6-camacani_8,P3140580.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1475.0,3422.0,8707113.0,,79.55:67.31:51.66,57.54:54.88:44.48
F6-camacani_8,P3140712.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1145.0,2734.0,4914335.0,,131.58:90.26:37.43,43.26:33.62:22.98
F6-camacani_8,P3140892.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1178.0,3533.0,6240172.0,,117.91:75.7:45.42,50.37:39.94:27.6
F6-camacani_8,P3140688.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1140.0,3392.0,6727952.0,,80.42:53.29:35.82,36.93:33.07:21.75
F6-camacani_8,P3140855.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1169.0,3590.0,7905037.0,,137.0:88.4:32.14,46.04:40.45:25.8
F6-camacani_8,P3140555.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1486.0,3262.0,7147959.0,,66.88:74.95:46.18,38.78:36.5:30.36
F6-camacani_8,P3140859.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1373.0,3186.0,7961886.0,,96.07:85.08:42.84,53.41:43.94:32.59
F6-camacani_8,P3140534.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,942.0,3553.0,6061763.0,,63.72:58.36:55.41,32.54:31.77:26.36
F6-camacani_8,P3140921.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,956.0,3323.0,5104569.0,,84.77:59.69:40.96,36.3:33.72:25.39
F6-camacani_8,P3140614.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,957.0,3372.0,5735968.0,,69.41:53.03:28.38,43.53:37.49:27.9
F6-camacani_8,P3140874.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1282.0,3432.0,6735631.0,,90.39:65.6:43.34,44.89:39.34:27.29
F6-camacani_8,P3140678.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,756.0,2390.0,3036012.0,,113.66:80.5:59.85,68.02:60.23:46.82
F6-camacani_8,P3140862.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,902.0,3577.0,5441319.0,,105.04:78.96:47.27,55.78:49.21:38.34
F6-camacani_8,P3140765.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1045.0,3209.0,5501527.0,,76.28:66.23:38.02,51.33:46.47:38.7
F6-camacani_8,P3140593.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1070.0,3407.0,4576826.0,,115.12:87.29:51.16,68.83:68.62:49.33
F6-camacani_8,P3140520.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1286.0,3393.0,6980988.0,,49.17:50.0:46.67,31.57:29.52:31.04
F6-camacani_8,P3140586.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1098.0,3075.0,6363893.0,,79.25:78.46:38.05,60.22:54.7:37.44
