folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_4,_DSC0732(3).jpg,x,
F6-camacani_4,_DSC0644(2).jpg,x,
F6-camacani_4,_DSC0577(3).jpg,x,
F6-camacani_4,_DSC0649(3).jpg,x,
F6-camacani_4,_DSC0701(3).jpg,x,
F6-camacani_4,_DSC0630(2).jpg,x,
F6-camacani_4,_DSC0569(4).jpg,x,
F6-camacani_4,_DSC0733(2).jpg,x,
F6-camacani_4,_DSC0676(3).jpg,x,
F6-camacani_4,_DSC0670(3).jpg,x,
F6-camacani_4,_DSC0577(2).jpg,x,
F6-camacani_4,_DSC0625(2).jpg,x,
F6-camacani_4,_DSC0641(2).jpg,x,
F6-camacani_4,_DSC0731(3).jpg,x,
F6-camacani_4,_DSC0574(2).jpg,x,
F6-camacani_4,_DSC0555(3).jpg,x,
F6-camacani_4,_DSC0655(3).jpg,x,
F6-camacani_4,_DSC0720(2).jpg,x,
F6-camacani_4,_DSC0721(2).jpg,x,
F6-camacani_4,_DSC0653(2).jpg,x,
F6-camacani_4,_DSC0616(3).jpg,x,
F6-camacani_4,_DSC0607(2).jpg,x,
F6-camacani_4,_DSC0584(3).jpg,x,
F6-camacani_4,_DSC0549(3).jpg,x,
F6-camacani_4,_DSC0725(3).jpg,x,
F6-camacani_4,_DSC0595(3).jpg,x,
F6-camacani_4,_DSC0558(4).jpg,x,
F6-camacani_4,_DSC0596(4).jpg,x,
F6-camacani_4,_DSC0695(3).jpg,x,
F6-camacani_4,_DSC0650(2).jpg,x,
F6-camacani_4,_DSC0630(3).jpg,x,
F6-camacani_4,_DSC0652(3).jpg,x,
F6-camacani_4,_DSC0609(3).jpg,x,
F6-camacani_4,_DSC0588(3).jpg,x,
F6-camacani_4,_DSC0738(3).jpg,x,
F6-camacani_4,_DSC0549(2).jpg,x,
F6-camacani_4,_DSC0595(4).jpg,x,
F6-camacani_4,_DSC0620(3).jpg,x,
F6-camacani_4,_DSC0712(3).jpg,x,
F6-camacani_4,_DSC0571(4).jpg,x,
F6-camacani_4,_DSC0678(2).jpg,x,
F6-camacani_4,_DSC0674(2).jpg,x,
F6-camacani_4,_DSC0600(2).jpg,x,
F6-camacani_4,_DSC0591(2).jpg,x,
F6-camacani_4,_DSC0709(3).jpg,x,
F6-camacani_4,_DSC0587(4).jpg,x,
F6-camacani_4,_DSC0693(2).jpg,x,
F6-camacani_4,_DSC0591(4).jpg,x,
F6-camacani_4,_DSC0596(2).jpg,x,
F6-camacani_4,_DSC0704(2).jpg,x,
F6-camacani_4,_DSC0638(3).jpg,x,
F6-camacani_4,_DSC0716(3).jpg,x,
F6-camacani_4,_DSC0718(3).jpg,x,
F6-camacani_4,_DSC0575(4).jpg,x,
F6-camacani_4,_DSC0582(3).jpg,x,
F6-camacani_4,_DSC0551(2).jpg,x,
F6-camacani_4,_DSC0708(2).jpg,x,
F6-camacani_4,_DSC0661(3).jpg,x,
