folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_6,_DSC0982(3).jpg,x,
F6-camacani_6,P3139824.jpg,x,
F6-camacani_6,P3139786.jpg,x,
F6-camacani_6,P3139896.jpg,x,
F6-camacani_6,P3139916.jpg,x,
F6-camacani_6,_DSC0985(2).jpg,x,
F6-camacani_6,P3139742.jpg,x,
F6-camacani_6,P3139929.jpg,x,
F6-camacani_6,P3139960.jpg,x,
F6-camacani_6,P3139821.jpg,x,
F6-camacani_6,P3139817.jpg,x,
F6-camacani_6,P3139733.jpg,x,
F6-camacani_6,P3139780.jpg,x,
F6-camacani_6,P3139798.jpg,x,
F6-camacani_6,P3139760.jpg,x,
F6-camacani_6,P3139751.jpg,x,
F6-camacani_6,P3139851.jpg,x,
F6-camacani_6,_DSC0973(2).jpg,x,
F6-camacani_6,_DSC0984(3).jpg,x,
F6-camacani_6,P3139958.jpg,x,
F6-camacani_6,P3139755.jpg,x,
F6-camacani_6,P3139792.jpg,x,
F6-camacani_6,P3139894.jpg,x,
F6-camacani_6,P3130012.jpg,x,
F6-camacani_6,P3139938.jpg,x,
F6-camacani_6,P3139793.jpg,x,
F6-camacani_6,P3139808.jpg,x,
F6-camacani_6,P3139912.jpg,x,
F6-camacani_6,P3139841.jpg,x,
F6-camacani_6,P3139787.jpg,x,
F6-camacani_6,_DSC0998(2).jpg,x,
F6-camacani_6,P3139877.jpg,x,
F6-camacani_6,P3139858.jpg,x,
F6-camacani_6,P3139899.jpg,x,
F6-camacani_6,P3139863.jpg,x,
F6-camacani_6,P3139955.jpg,x,
F6-camacani_6,P3139859.jpg,x,
F6-camacani_6,P3139904.jpg,x,
F6-camacani_6,P3139750.jpg,x,
F6-camacani_6,P3139842.jpg,x,
F6-camacani_6,P3130008.jpg,x,
F6-camacani_6,P3139832.jpg,x,
F6-camacani_6,P3139747.jpg,x,
F6-camacani_6,_DSC0988(2).jpg,x,
F6-camacani_6,P3139940.jpg,x,
F6-camacani_6,P3139973.jpg,x,
F6-camacani_6,_DSC0972(2).jpg,x,
F6-camacani_6,P3139773.jpg,x,
F6-camacani_6,P3139920.jpg,x,
F6-camacani_6,P3139762.jpg,x,
F6-camacani_6,P3139977.jpg,x,
F6-camacani_6,P3139967.jpg,x,
F6-camacani_6,P3130007.jpg,x,
F6-camacani_6,P3139784.jpg,x,
F6-camacani_6,P3130038.jpg,x,
F6-camacani_6,P3139753.jpg,x,
F6-camacani_6,P3130028.jpg,x,
F6-camacani_6,P3139775.jpg,x,
F6-camacani_6,P3139893.jpg,x,
F6-camacani_6,_DSC0997(2).jpg,x,
F6-camacani_6,P3139944.jpg,x,
F6-camacani_6,P3139844.jpg,x,
F6-camacani_6,P3139878.jpg,x,
F6-camacani_6,P3139948.jpg,x,
F6-camacani_6,P3139802.jpg,x,
F6-camacani_6,P3130042.jpg,x,
F6-camacani_6,P3139731.jpg,x,
F6-camacani_6,P3130026.jpg,x,
F6-camacani_6,_DSC0981(2).jpg,x,
F6-camacani_6,P3139754.jpg,x,
F6-camacani_6,P3130001.jpg,x,
F6-camacani_6,P3139905.jpg,x,
F6-camacani_6,_DSC0966(2).jpg,x,
F6-camacani_6,P3139936.jpg,x,
F6-camacani_6,_DSC0996(3).jpg,x,
F6-camacani_6,P3139790.jpg,x,
F6-camacani_6,_DSC0968(3).jpg,x,
F6-camacani_6,P3130036.jpg,x,
F6-camacani_6,P3130024.jpg,x,
F6-camacani_6,P3139761.jpg,x,
F6-camacani_6,P3139783.jpg,x,
F6-camacani_6,P3139838.jpg,x,
F6-camacani_6,P3139748.jpg,x,
F6-camacani_6,P3139864.jpg,x,
F6-camacani_6,P3139815.jpg,x,
F6-camacani_6,P3139928.jpg,x,
F6-camacani_6,P3139743.jpg,x,
F6-camacani_6,_DSC0979(2).jpg,x,
F6-camacani_6,P3139779.jpg,x,
F6-camacani_6,P3139732.jpg,x,
F6-camacani_6,P3130027.jpg,x,
F6-camacani_6,P3139934.jpg,x,
F6-camacani_6,_DSC0969(2).jpg,x,
F6-camacani_6,P3139913.jpg,x,
F6-camacani_6,P3139789.jpg,x,
F6-camacani_6,P3139906.jpg,x,
F6-camacani_6,_DSC0978(2).jpg,x,
F6-camacani_6,P3130034.jpg,x,
F6-camacani_6,P3139943.jpg,x,
F6-camacani_6,_DSC0995(2).jpg,x,
F6-camacani_6,P3130013.jpg,x,
F6-camacani_6,_DSC0970(2).jpg,x,
F6-camacani_6,P3139932.jpg,x,
F6-camacani_6,P3139737.jpg,x,
