img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F7-illpa_2,IMG_20180313_153226.jpg,NA,3264:2448,,,,,,,,,,,1.0,1.0,1474.0,3100.0,5915969.0,,135.97:94.26:79.78,67.55:72.24:65.95
F7-illpa_2,IMG_20180313_153645.jpg,NA,3264:2448,,,,,,,,,,,1.0,1.0,1777.0,3245.0,7536314.0,,146.46:122.42:103.22,55.16:54.61:55.24
F7-illpa_2,IMG_20180313_143701.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,854.0,4032.0,6086949.0,,134.46:101.65:73.59,44.38:44.42:38.0
F7-illpa_2,IMG_20180313_143250.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1141.0,4158.0,8304455.0,,138.28:127.04:100.89,42.04:43.42:40.9
F7-illpa_2,IMG_20180313_150342.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1024.0,3616.0,6016510.0,,151.51:88.01:71.99,47.73:61.43:47.56
F7-illpa_2,IMG_20180313_144616.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,912.0,4160.0,6842863.0,,146.01:127.25:92.91,43.55:42.32:40.78
F7-illpa_2,IMG_20180313_145849.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1048.0,4160.0,6342939.0,,91.02:66.51:48.7,56.44:54.91:43.71
F7-illpa_2,IMG_20180313_153044.jpg,NA,3264:2448,,,,,,,,,,,1.0,1.0,818.0,3144.0,4462441.0,,127.99:85.57:57.9,41.85:40.19:36.3
F7-illpa_2,IMG_20180313_151721.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1072.0,3370.0,6140628.0,,158.99:101.64:73.91,46.0:54.22:40.48
F7-illpa_2,IMG_20180313_153053.jpg,NA,3264:2448,,,,,,,,,,,1.0,1.0,936.0,2732.0,4115334.0,,158.74:129.35:89.39,42.47:45.26:37.48
F7-illpa_2,IMG_20180313_153638.jpg,NA,3264:2448,,,,,,,,,,,1.0,1.0,932.0,3013.0,4957304.0,,104.84:71.41:49.11,49.34:46.44:35.59
F7-illpa_2,IMG_20180313_153826.jpg,NA,3264:2448,,,,,,,,,,,1.0,1.0,758.0,2996.0,3946552.0,,155.09:108.75:82.89,55.38:57.87:47.89
F7-illpa_2,IMG_20180313_152912.jpg,NA,3264:2448,,,,,,,,,,,1.0,1.0,812.0,3238.0,4727982.0,,108.58:68.08:44.64,52.85:48.45:36.9
F7-illpa_2,IMG_20180313_145921.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,2347.0,4010.0,9822499.0,,65.31:59.74:46.1,46.88:45.5:36.32
F7-illpa_2,IMG_20180313_150222.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,871.0,4155.0,6413756.0,,144.55:104.14:75.56,39.69:46.85:39.86
F7-illpa_2,IMG_20180313_150933.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1279.0,4073.0,7725970.0,,168.85:103.86:70.68,44.67:47.29:38.67
F7-illpa_2,IMG_20180313_150356.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1046.0,3989.0,6658231.0,,152.41:97.05:68.24,54.44:61.82:47.95
F7-illpa_2,IMG_20180313_151743.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1502.0,4160.0,8248638.0,,116.79:108.41:103.29,51.72:55.5:49.16
F7-illpa_2,IMG_20180313_151028.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1209.0,4160.0,7911192.0,,138.95:103.14:81.76,45.05:50.34:45.54
F7-illpa_2,IMG_20180313_143918.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1226.0,4160.0,9129505.0,,118.78:115.15:99.05,55.11:56.79:50.45
F7-illpa_2,IMG_20180313_144740.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1119.0,4160.0,8230624.0,,110.62:77.36:54.11,55.52:57.63:47.61
F7-illpa_2,IMG_20180313_145016.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1010.0,4023.0,6308248.0,,127.24:125.06:118.75,53.12:51.43:48.32
F7-illpa_2,IMG_20180313_145725.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,969.0,4160.0,7253111.0,,123.13:141.24:97.86,44.32:40.72:46.72
F7-illpa_2,IMG_20180313_143315.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1633.0,4160.0,9138480.0,,140.15:88.74:77.78,44.42:49.12:47.58
F7-illpa_2,IMG_20180313_145557.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,930.0,4117.0,6449585.0,,112.24:114.99:112.41,48.57:48.37:49.5
F7-illpa_2,IMG_20180313_150655.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1212.0,4108.0,7725557.0,,140.12:98.08:98.57,50.6:55.92:52.59
F7-illpa_2,IMG_20180313_151003.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,2350.0,4160.0,12469809.0,,135.09:94.01:68.4,52.94:57.37:49.49
F7-illpa_2,IMG_20180313_150443.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1219.0,3707.0,6855004.0,,164.36:96.85:78.07,45.44:49.36:38.84
F7-illpa_2,IMG_20180313_151038.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1235.0,3816.0,6295614.0,,141.23:104.06:78.88,44.95:48.04:41.96
F7-illpa_2,IMG_20180313_143322.jpg,NA,4160:3120,,,,,,,,,,,1.0,1.0,1410.0,4078.0,10281182.0,,129.35:131.1:114.08,56.79:57.38:54.17
