img_folder,img_name,img_qrcode,img_res,scale_pixelpercm2,scale_RGB_R,scale_RGB_G,scale_RGB_B,scale_amount,scale_median,scale_mean,scale_std,scale_min,scale_max,panicle_detected,panicle_number,panicle_width,panicle_length,panicle_area,panicle_shape,panicle_RGB_mean,panicle_RGB_stdev
F6-camacani_7,P3140098.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1047.0,3481.0,6514625.0,,119.95:80.44:27.39,47.31:38.98:26.11
F6-camacani_7,P3140097.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1727.0,3571.0,9355386.0,,99.36:68.38:39.38,51.42:42.14:28.11
F6-camacani_7,P3140472.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1540.0,3108.0,8042834.0,,86.69:93.18:50.19,52.3:49.44:35.74
F6-camacani_7,P3140050.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1048.0,3506.0,5814084.0,,66.0:70.96:38.19,33.44:31.46:28.84
F6-camacani_7,P3140143.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,811.0,3603.0,4935338.0,,102.65:83.21:33.4,46.78:33.27:21.97
F6-camacani_7,P3139982.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,764.0,1892.0,2008327.0,,72.59:70.72:36.86,39.95:33.47:23.67
F6-camacani_7,P3140256.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,1375.0,3427.0,8925204.0,,113.19:96.73:44.98,52.84:44.26:32.38
F6-camacani_7,P3140153.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,989.0,3568.0,5013791.0,,103.0:72.52:28.65,48.31:36.79:24.29
F6-camacani_7,P3139979.jpg,NA,3648:2736,,,,,,,,,,,1.0,1.0,555.0,3121.0,2737716.0,,104.0:71.73:36.09,41.99:32.48:24.79
