"","mask_resolution","emmean","SE","df","lower.CL","upper.CL",".group"
"1","28x28",73.4206522754024,0.473479336716497,77,72.4778344650401,74.3634700857647," 1 "
"2","56x56",76.5642502205672,0.473479336716497,77,75.6214324102049,77.5070680309295,"  2"
